PC=0000000000000120, T_valid=0, T=31, Told=31, rega=31, regb= 4
PC=0000000000000088, T_valid=0, T=31, Told=31, rega=21, regb=31
PC=0000000000000070, T_valid=1, T=22, Told=26, rega=31, regb=63
PC=0000000000000074, T_valid=1, T=59, Told=20, rega=20, regb= 1
PC=0000000000000078, T_valid=1, T=61, Told= 4, rega=31, regb=59
PC=000000000000007c, T_valid=1, T=32, Told= 1, rega= 1, regb=63
PC=000000000000008c, T_valid=1, T=22, Told= 4, rega= 4, regb=31
PC=0000000000000090, T_valid=1, T=59, Told=37, rega=31, regb=21
PC=0000000000000094, T_valid=1, T=61, Told=63, rega=31, regb=26
PC=0000000000000098, T_valid=1, T=32, Told= 1, rega= 1, regb=61
PC=000000000000009c, T_valid=1, T=33, Told=20, rega=20, regb=32
PC=00000000000000a0, T_valid=1, T=38, Told=22, rega=31, regb=33
PC=00000000000000a4, T_valid=1, T=40, Told=59, rega=59, regb=42
PC=00000000000000f4, T_valid=1, T=59, Told=21, rega=31, regb=44
PC=00000000000000f8, T_valid=0, T=31, Told=31, rega=39, regb=44
PC=00000000000000fc, T_valid=0, T=31, Told=31, rega=63, regb=44
PC=0000000000000100, T_valid=0, T=31, Told=31, rega=37, regb=44
PC=0000000000000104, T_valid=1, T=61, Told=44, rega=44, regb=31
PC=0000000000000108, T_valid=0, T=31, Told=31, rega=31, regb=22
PC=0000000000000090, T_valid=1, T=32, Told=37, rega=31, regb=59
PC=0000000000000094, T_valid=1, T=33, Told=63, rega=31, regb=26
PC=0000000000000098, T_valid=1, T=38, Told= 1, rega= 1, regb=33
PC=000000000000009c, T_valid=1, T=40, Told=20, rega=20, regb=38
PC=00000000000000a0, T_valid=1, T=14, Told=22, rega=31, regb=40
PC=00000000000000a4, T_valid=1, T=62, Told=32, rega=32, regb=42
PC=00000000000000a8, T_valid=0, T=31, Told=31, rega=62, regb=31
PC=0000000000000044, T_valid=1, T=34, Told=42, rega=42, regb=31
PC=0000000000000048, T_valid=1, T=49, Told=38, rega=38, regb=60
PC=000000000000004c, T_valid=1, T=15, Told=40, rega=40, regb=49
PC=0000000000000050, T_valid=1, T= 6, Told=33, rega=31, regb=60
PC=0000000000000054, T_valid=1, T= 3, Told=14, rega=31, regb=15
PC=0000000000000140, T_valid=0, T=31, Told=31, rega=32, regb=33
PC=0000000000000144, T_valid=0, T=31, Told=31, rega=31, regb=14
PC=0000000000000148, T_valid=1, T=62, Told=33, rega=31, regb=14
PC=00000000000000a4, T_valid=1, T=62, Told=32, rega=32, regb=42
PC=00000000000000a8, T_valid=0, T=31, Told=31, rega=62, regb=31
PC=0000000000000044, T_valid=1, T=34, Told=42, rega=42, regb=31
PC=0000000000000048, T_valid=1, T=49, Told=38, rega=38, regb=60
PC=000000000000004c, T_valid=1, T=15, Told=40, rega=40, regb=49
PC=0000000000000050, T_valid=1, T= 6, Told=33, rega=31, regb=60
PC=0000000000000054, T_valid=1, T= 3, Told=14, rega=31, regb=15
PC=0000000000000058, T_valid=0, T=31, Told=31, rega=59, regb=31
PC=0000000000000070, T_valid=1, T=41, Told=26, rega=31, regb= 6
PC=0000000000000074, T_valid=1, T= 5, Told=15, rega=15, regb=49
PC=0000000000000078, T_valid=1, T=46, Told= 3, rega=31, regb= 5
PC=000000000000014c, T_valid=1, T=41, Told=58, rega=58, regb= 6
PC=0000000000000150, T_valid=1, T= 5, Told=59, rega=41, regb=62
PC=0000000000000154, T_valid=0, T=31, Told=31, rega=31, regb= 3
PC=0000000000000158, T_valid=1, T=46, Told= 5, rega= 5, regb=31
PC=000000000000015c, T_valid=1, T=56, Told=46, rega=46, regb=31
PC=0000000000000170, T_valid=1, T=55, Told=56, rega=56, regb=31
PC=0000000000000174, T_valid=1, T=45, Told=55, rega=55, regb=31
PC=0000000000000058, T_valid=0, T=31, Told=31, rega= 5, regb=31
PC=0000000000000070, T_valid=1, T=46, Told=26, rega=31, regb= 6
PC=0000000000000074, T_valid=1, T=56, Told=15, rega=15, regb=49
PC=0000000000000078, T_valid=1, T=55, Told= 3, rega=31, regb=56
PC=000000000000007c, T_valid=1, T=45, Told=49, rega=49, regb= 6
PC=000000000000005c, T_valid=1, T=46, Told= 3, rega= 3, regb=31
PC=0000000000000060, T_valid=1, T=56, Told=60, rega=31, regb= 5
PC=0000000000000064, T_valid=1, T=55, Told=62, rega=62, regb=34
PC=0000000000000068, T_valid=0, T=31, Told=31, rega=55, regb=31
PC=0000000000000044, T_valid=1, T=45, Told=34, rega=34, regb=31
PC=0000000000000048, T_valid=1, T=51, Told=49, rega=49, regb=56
PC=000000000000004c, T_valid=1, T=52, Told=15, rega=15, regb=51
PC=00000000000000f4, T_valid=1, T=56, Told= 5, rega=31, regb=61
PC=00000000000000f8, T_valid=0, T=31, Told=31, rega=39, regb=61
PC=00000000000000fc, T_valid=0, T=31, Told=31, rega= 6, regb=61
PC=0000000000000100, T_valid=0, T=31, Told=31, rega=62, regb=61
PC=0000000000000104, T_valid=1, T=55, Told=61, rega=61, regb=31
PC=0000000000000108, T_valid=0, T=31, Told=31, rega=31, regb=46
PC=0000000000000060, T_valid=1, T=45, Told=60, rega=31, regb=56
PC=0000000000000064, T_valid=1, T=51, Told=62, rega=62, regb=34
PC=0000000000000068, T_valid=0, T=31, Told=31, rega=51, regb=31
PC=0000000000000044, T_valid=1, T=52, Told=34, rega=34, regb=31
PC=0000000000000048, T_valid=1, T=47, Told=49, rega=49, regb=45
PC=000000000000004c, T_valid=1, T=48, Told=15, rega=15, regb=47
PC=0000000000000050, T_valid=1, T=50, Told= 6, rega=31, regb=45
PC=0000000000000054, T_valid=1, T=57, Told=46, rega=31, regb=48
